unit,sizen_r2,indic_is,geo,time,Value
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Austria,2014,24
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Austria,2015,n/a
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Austria,2016,35
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Austria,2017,43
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Austria,2018,50
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Austria,2020,66
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Bosnia and Herzegovina,2014,n/a
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Bosnia and Herzegovina,2015,n/a
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Bosnia and Herzegovina,2016,n/a
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Bosnia and Herzegovina,2017,n/a
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Bosnia and Herzegovina,2018,20
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Bosnia and Herzegovina,2020,22
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Belgium,2014,44
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Belgium,2015,56
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Belgium,2016,64
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Belgium,2017,76
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Belgium,2018,79
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Belgium,2020,86
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Bulgaria,2014,13
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Bulgaria,2015,16
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Bulgaria,2016,18
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Bulgaria,2017,29
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Bulgaria,2018,30
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Bulgaria,2020,39
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Cyprus,2014,30
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Cyprus,2015,33
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Cyprus,2016,37
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Cyprus,2017,41
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Cyprus,2018,42
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Cyprus,2020,66
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Czechia,2014,19
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Czechia,2015,n/a
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Czechia,2016,30
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Czechia,2017,39
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Czechia,2018,45
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Czechia,2020,56
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Germany (until 1990 former territory of the FRG),2014,27
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Germany (until 1990 former territory of the FRG),2015,n/a
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Germany (until 1990 former territory of the FRG),2016,38
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Germany (until 1990 former territory of the FRG),2017,n/a
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Germany (until 1990 former territory of the FRG),2018,49
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Germany (until 1990 former territory of the FRG),2020,62
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Denmark,2014,54
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Denmark,2015,62
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Denmark,2016,66
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Denmark,2017,68
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Denmark,2018,77
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Denmark,2020,89
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",2014,35
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",2015,n/a
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",2016,45
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",2017,n/a
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",2018,56
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",2020,67
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Estonia,2014,23
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Estonia,2015,n/a
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Estonia,2016,45
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Estonia,2017,n/a
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Estonia,2018,57
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Estonia,2020,75
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Greece,2014,19
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Greece,2015,32
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Greece,2016,32
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Greece,2017,38
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Greece,2018,46
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Greece,2020,45
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Spain,2014,35
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Spain,2015,40
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Spain,2016,45
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Spain,2017,51
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Spain,2018,55
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Spain,2020,64
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,European Union - 15 countries (1995-2004),2014,40
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,European Union - 15 countries (1995-2004),2015,n/a
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,European Union - 15 countries (1995-2004),2016,49
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,European Union - 15 countries (1995-2004),2017,n/a
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,European Union - 15 countries (1995-2004),2018,60
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,European Union - 15 countries (1995-2004),2020,n/a
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,European Union - 27 countries (2007-2013),2014,35
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,European Union - 27 countries (2007-2013),2015,n/a
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,European Union - 27 countries (2007-2013),2016,45
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,European Union - 27 countries (2007-2013),2017,n/a
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,European Union - 27 countries (2007-2013),2018,56
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,European Union - 27 countries (2007-2013),2020,n/a
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,European Union - 27 countries (from 2020),2014,32
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,European Union - 27 countries (from 2020),2015,n/a
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,European Union - 27 countries (from 2020),2016,42
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,European Union - 27 countries (from 2020),2017,n/a
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,European Union - 27 countries (from 2020),2018,53
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,European Union - 27 countries (from 2020),2020,65
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,European Union - 28 countries (2013-2020),2014,35
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,European Union - 28 countries (2013-2020),2015,n/a
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,European Union - 28 countries (2013-2020),2016,45
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,European Union - 28 countries (2013-2020),2017,n/a
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,European Union - 28 countries (2013-2020),2018,56
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,European Union - 28 countries (2013-2020),2020,n/a
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Finland,2014,69
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Finland,2015,80
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Finland,2016,87
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Finland,2017,89
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Finland,2018,92
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Finland,2020,94
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,France,2014,36
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,France,2015,n/a
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,France,2016,48
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,France,2017,n/a
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,France,2018,60
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,France,2020,66
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Croatia,2014,27
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Croatia,2015,30
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Croatia,2016,39
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Croatia,2017,48
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Croatia,2018,50
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Croatia,2020,65
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Hungary,2014,18
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Hungary,2015,26
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Hungary,2016,33
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Hungary,2017,39
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Hungary,2018,45
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Hungary,2020,59
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Ireland,2014,50
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Ireland,2015,58
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Ireland,2016,63
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Ireland,2017,n/a
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Ireland,2018,61
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Ireland,2020,79
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Iceland,2014,62
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Iceland,2015,n/a
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Iceland,2016,n/a
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Iceland,2017,n/a
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Iceland,2018,n/a
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Iceland,2020,n/a
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Italy,2014,47
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Italy,2015,n/a
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Italy,2016,50
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Italy,2017,n/a
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Italy,2018,58
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Italy,2020,79
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Lithuania,2014,21
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Lithuania,2015,29
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Lithuania,2016,34
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Lithuania,2017,48
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Lithuania,2018,55
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Lithuania,2020,64
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Luxembourg,2014,35
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Luxembourg,2015,n/a
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Luxembourg,2016,48
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Luxembourg,2017,n/a
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Luxembourg,2018,54
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Luxembourg,2020,63
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Latvia,2014,18
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Latvia,2015,22
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Latvia,2016,32
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Latvia,2017,36
Percentage of enterprises,"Large enterprises (250 persons employed or more), without financial sector",Buy cloud computing services used over the internet,Latvia,2018,39
